Date,Average of pres1,Average of pres2,Average of pres3,Average of pres4,Average of pres5,Average of pres6,Average of pres7,Average of pres8,Average of pres9,Average of pres10,Average of pres11,Average of pres12,Average of pres13,Average of pres14,Average of pres15,Average of pres16,Average of pres17,Average of pres18,Average of pres19,Average of pres20,Average of pres21,Average of pres22,Average of pres23,Average of pres24,Average of pres25,Average of pres26,Average of pres27,Average of pres28,Average of pres29,Average of pres30,Average of pres31,Average of pres32,Average of pres33,Average of pres34,Average of pres35,Average of pres36,Average of pres37,Average of pres38,Average of pres39,Average of pres40,Average of pres41,Average of pres42,Average of pres43,Average of pres44,Average of pres45,Average of pres46,Average of pres47,Average of pres48,Average of pres49,Average of pres50,Average of pres51,Average of pres52,Average of pres53,Average of pres54,Average of pres55,Average of pres56,Average of pres57,Average of pres58,Average of pres59,Average of pres60
10/2/2019,101469.7057,101482.6654,101507.8385,101509.7585,101509.7585,101509.7585,101512.3184,101528.3711,101533.918,101519.8379,101514.3978,101513.7044,101464.1048,101467.4648,101496.8516,101495.5189,101506.1849,101511.7845,101516.2109,101522.3444,101502.0781,101471.1452,101462.2389,101476.1048,101392.7448,101424.4785,101441.9186,101461.2773,101469.5449,101479.1979,101489.7044,101493.8652,101476.1042,101395.7865,101400.2122,101414.3984,101319.0391,101338.666,101326.8255,101340.6914,101334.0247,101340.3711,101330.026,101308.9049,101282.6113,101278.7721,101381.972,101276.6393,101146.2389,101187.4655,101123.4648,101099.5189,101142.3984,101066.9323,101059.2507,101005.0645,101107.252,101127.9974,101235.3053,101067.1992
10/3/2019,101496.0938,101506.9199,101530.8672,101534.0671,101538.4941,101541.4264,101543.5072,101557.694,101561.2135,101550.334,101548.5729,101553.8001,101484.6797,101489.5872,101521.2129,101523.7734,101535.0801,101539.7214,101542.0143,101545.1595,101521.5866,101494.2793,101492.3587,101513.8001,101408.5195,101443.7734,101465.3737,101488.9987,101496.5742,101503.1335,101509.7995,101510.1191,101488.0938,101409.9076,101424.2012,101449.3737,101335.7728,101355.9342,101348.7344,101367.3457,101360.6803,101361.8001,101345.6934,101320.5749,101291.0801,101287.6673,101401,101305.5332,101165.6927,101203.7741,101143.5072,101123.0794,101166.5475,101085.6406,101072.36,101014.7604,101114.8138,101134.2799,101249.6934,101090.3327
10/4/2019,101549.153,101560.0872,101584.513,101587.9798,101591.2865,101593.6868,101593.4727,101604.194,101604.6198,101590.6465,101585.1536,101587.0202,101537.8464,101542.7526,101575.5534,101579.1797,101590.5404,101594.0599,101594.8066,101596.3001,101573.2591,101541.847,101532.9395,101547.5,101460.9941,101496.1406,101517.0462,101538.7546,101545.4199,101551.7663,101558.7533,101562.3268,101545.5794,101466.3796,101470.9128,101485.2064,101386.6992,101407.2858,101396.7793,101411.2865,101402.3268,101404.1927,101390.8613,101373.2598,101350.8073,101349.4727,101452.6738,101347.5534,101214.8594,101254.5397,101189.793,101163.8737,101203.9264,101129.0462,101123.5,101072.3535,101176.3535,101198.4876,101305.8451,101137.9544
10/5/2019,101421.9627,101432.2524,101456.1785,101459.4772,101464.3504,101467.4519,101472.2266,101489.4573,101494.628,101477.6929,101472.1779,101477.0523,101410.1472,101414.8732,101446.2338,101448.3504,101459.5258,101463.6611,101467.1082,101475.4766,101458.8858,101429.1508,101420.1917,101435.2061,101332.3131,101366.2338,101386.518,101408.7686,101416.0553,101423.1448,101431.5637,101441.4585,101430.5294,101354.1226,101358.4555,101372.9784,101258.4171,101272.5974,101263.8822,101280.9171,101274.4675,101277.3233,101265.5577,101252.7079,101234.345,101236.2157,101341.6671,101240.0553,101089.9008,101117.2248,101055.5883,101035.9447,101082.2212,101007.9321,101002.5673,100952.9405,101059.0835,101082.6166,101194.9591,101033.6298
10/6/2019,101414.8099,101432.0898,101463.3958,101473.2083,101479.3952,101483.7155,101489.0495,101507.1296,101514.1699,101504.1439,101504.1432,101507.1842,101402.7565,101414.0632,101455.0234,101467.237,101479.237,101483.9831,101489.5286,101498.3835,101481.2109,101454.9707,101450.7038,101469.0495,101325.7962,101364.5703,101392.1966,101419.8763,101431.3965,101444.5156,101459.8776,101468.4635,101455.5039,101379.3431,101387.8236,101406.1699,101255.8223,101272.571,101266.2233,101284.3568,101282.0098,101296.1432,101296.0905,101281.1035,101259.3444,101259.6615,101368.2507,101267.8229,101091.0221,101119.4499,101057.2624,101037.849,101087.5566,101022.5449,101025.3171,100977.0501,101082.1159,101104.5156,101218.4902,101056.4642
10/7/2019,101529.5794,101538.3802,101559.4479,101558.0078,101556.6745,101555.7142,101551.3939,101556.9935,101552.0879,101537.7949,101532.3542,101529.7409,101519.6615,101519.4479,101545.7936,101541.6335,101551.6608,101554.5397,101551.7135,101548.5137,101521.4746,101489.1536,101480.0879,101493.207,101447.1276,101476.248,101491.7669,101508.9421,101511.2337,101511.4479,101510.7533,101512.1413,101494.0599,101413.9538,101417.7936,101432.248,101382.1673,101395.2344,101380.1413,101390.8613,101375.0736,101365.0469,101339.9277,101322.2214,101301.5273,101302.0065,101405.3665,101298.0072,101219.5547,101248.9408,101179.821,101153.1556,101192.2474,101103.3411,101083.6602,101027.1276,101133.9544,101158.2214,101264.513,101092.2474
10/8/2019,101522.569,101528.0625,101544.4896,101536.597,101530.9434,101527.0501,101524.4368,101534.304,101533.5039,101520.1706,101514.3034,101513.7174,101527.5313,101518.3027,101533.8776,101516.222,101526.0905,101531.5827,101530.9421,101528.4902,101499.0501,101466.3027,101459.2109,101475.7435,101465.8757,101485.9837,101490.6764,101498.5169,101500.0638,101501.5033,101500.9701,101496.3835,101469.2363,101384.3294,101392.8626,101412.2227,101403.6901,101413.7708,101391.0501,101395.9036,101377.7702,101368.0098,101341.5039,101315.3164,101287.1576,101283.7975,101387.4772,101274.4622,101239.8509,101272.2233,101197.237,101165.0775,101201.1283,101110.8366,101090.7311,101031.4238,101137.3971,101162.3021,101259.5827,101070.8353
10/9/2019,101409.0892,101424.5566,101454.584,101462.2617,101466.5293,101469.4616,101474.7415,101494.4766,101503.8633,101495.0104,101494.582,101495.3307,101398.4238,101405.7318,101444.1309,101452.9818,101464.6107,101468.8229,101473.1432,101483.7565,101468.7161,101443.1686,101440.0241,101458.9557,101323.4902,101359.6504,101387.1172,101416.0241,101424.1296,101429.8366,101436.6634,101448.0241,101438.1042,101364.3424,101374.9564,101395.1165,101255.7025,101274.6367,101270.1569,101291.5443,101285.1439,101284.6641,101269.7845,101257.9954,101241.6758,101245.8366,101354.7975,101250.849,101088.61,101124.8242,101063.916,101045.1439,101092.5039,101015.4368,101009.4108,100960.0768,101069.7311,101095.2767,101206.1576,101035.918
10/10/2019,101360.3952,101374.901,101401.1947,101405.7272,101411.2754,101414.474,101422.3151,101447.1152,101462.4766,101452.9284,101452.9818,101458.3151,101351.9154,101359.2214,101389.8353,101389.5677,101400.2363,101406.5814,101417.5156,101439.3281,101435.9681,101411.5417,101403.7018,101418.1549,101272.7148,101309.9414,101329.2474,101352.1823,101363.3828,101376.3418,101392.3958,101415.3828,101417.3014,101345.9948,101346.9551,101356.7689,101188.0755,101209.7806,101203.6484,101225.5163,101225.7819,101237.6745,101234.2077,101229.4082,101218.1022,101223.5944,101327.4349,101224.502,101007.0612,101045.6745,100991.9141,100981.5156,101037.8874,100969.1419,100968.3418,100922.2083,101032.502,101057.3548,101173.5684,101015.1673
10/11/2019,101424.166,101441.4473,101471.7389,101477.1797,101477.1797,101477.1797,101483.6335,101505.446,101516.0592,101505.5,101503.8464,101507.3659,101418.8867,101425.7656,101459.8464,101462.8867,101473.554,101477.819,101481.6595,101492.2741,101477.0195,101451.2598,101448.3275,101468.5397,101347.901,101385.2331,101408.0065,101431.9525,101437.8743,101440.6471,101443.8464,101454.194,101442.9395,101369.0723,101381.3932,101404.2741,101281.6595,101306.14,101298.0866,101316.0059,101305.6608,101299.4733,101277.6602,101263.4733,101245.9258,101249.821,101361.9251,101262.8861,101116.1126,101160.1146,101097.7142,101075.7396,101118.6725,101034.3008,101019.5267,100966.3535,101074.5671,101099.3138,101213.7669,101050.0332
