Date," Discharge, cubic feet per second (Mean) USGS 02296750 PEACE RIVER AT SR 70 AT ARCADIA, FL","Gage height, feet (Mean) USGS 02296750 PEACE RIVER AT SR 70 AT ARCADIA, FL","Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum), TOP USGS 02297460 PEACE RIVER AT HARBOUR HEIGHTS FL","Temperature, water, degrees Celsius (Maximum), TOP USGS 02297460 PEACE RIVER AT HARBOUR HEIGHTS FL"
5/8/2004,17.414832,1.091184,771,27.8
5/9/2004,13.9035488,0.969264,901,27.2
5/10/2004,11.7797888,0.890016,1110,25.9
5/11/2004,10.194048,0.832104,2510,26.1
5/12/2004,9.0330592,0.789432,4010,27.4
5/13/2004,8.0986048,0.749808,5080,28
5/14/2004,7.3057344,0.71628,5660,28.5
5/15/2004,6.7110816,0.688848,7010,28.6
5/16/2004,6.1447456,0.664464,4790,28.5
5/17/2004,5.8898944,0.652272,5020,29.1
5/18/2004,5.7199936,0.646176,5920,28.8
5/19/2004,5.4085088,0.633984,6080,28.2
5/20/2004,5.0687072,0.615696,7650,29.1
5/21/2004,4.9271232,0.612648,6670,29.5
5/22/2004,4.530688,0.591312,7170,29.3
5/23/2004,4.1625696,0.569976,9760,29.1
5/24/2004,3.964352,0.560832,9830,29.9
5/25/2004,3.822768,0.554736,10600,29.7
5/26/2004,3.681184,0.54864,13400,29.3
5/27/2004,3.5962336,0.545592,14300,30.8
5/28/2004,3.5679168,0.545592,14700,31.2
5/29/2004,3.3130656,0.530352,16700,31.8
5/30/2004,3.0582144,0.515112,17400,31.5
5/31/2004,2.8883136,0.50292,18200,31.7
6/1/2004,2.74106624,0.493776,17900,31.4
6/2/2004,2.62779904,0.484632,17700,31.2
6/3/2004,2.62213568,0.484632,16000,31
6/4/2004,3.1431648,0.524256,16200,30.6
6/5/2004,3.1431648,0.527304,16200,30.1
6/6/2004,3.0582144,0.51816,16900,31.4
6/7/2004,3.256432,0.5334,16100,31.6
6/8/2004,3.2847488,0.536448,15400,31.1
6/9/2004,3.1714816,0.527304,14400,30.8
6/10/2004,3.5679168,0.554736,15400,30.1
6/11/2004,5.4934592,0.67056,16400,30.2
6/12/2004,8.2968224,0.80772,13200,31.7
6/13/2004,10.1090976,0.886968,7940,31.6
6/14/2004,14.441568,1.05156,3980,31.6
6/15/2004,12.8558272,0.993648,2300,31.8
6/16/2004,13.6770144,1.024128,1520,31.5
6/17/2004,15.7441408,1.100328,1440,31.8
6/18/2004,14.5548352,1.057656,1230,32.2
6/19/2004,12.2894912,0.969264,1640,31.2
6/20/2004,10.5055328,0.902208,1870,31.5
6/21/2004,9.1180096,0.844296,1660,31.6
6/22/2004,8.8065248,0.832104,1880,32.4
6/23/2004,8.4100896,0.813816,1660,33.9
6/24/2004,7.4190016,0.771144,2090,33.4
6/25/2004,6.8809824,0.743712,1870,33.2
6/26/2004,6.4279136,0.722376,3080,33.4
6/27/2004,7.2491008,0.762,3320,32.5
6/28/2004,8.3817728,0.813816,2940,31.9
6/29/2004,10.3922656,0.896112,1940,30.8
6/30/2004,10.6188,0.905256,1720,30.7
7/1/2004,16.6785952,1.133856,1860,31
7/2/2004,12.4877088,0.978408,1840,31.2
7/3/2004,8.8631584,0.835152,1830,31.5
7/4/2004,12.8558272,0.9906,2030,31.9
7/5/2004,16.848496,1.136904,1960,32.6
7/6/2004,15.1211712,1.078992,1890,32.9
7/7/2004,12.884144,0.993648,1120,33.1
