Date,sm0,sm1,sm2,sm3,sm6,sm7,sm10,sm11,sm14,sm15,sm18,sm19,sm23
2/2/2004,0.212196889,0.189475046,0.21405091,0.190895315,0.174780393,0.165230388,0.168179428,0.166004168,0.169385806,0.164529798,0.164898551,0.165326561,0.164722662
2/3/2004,0.287108421,0.260419548,0.277987003,0.243732941,0.208711086,0.19747355,0.179214265,0.173188109,0.172327472,0.152481988,0.160313943,0.152887002,0.170311722
2/4/2004,0.207590357,0.179116795,0.209650129,0.185701231,0.171694695,0.162564041,0.167500231,0.160494711,0.162349519,0.160069037,0.159350204,0.160056361,0.162537158
2/5/2004,0.280258983,0.253599495,0.272072494,0.23774193,0.223110838,0.20740516,0.22093447,0.206357861,0.223295026,0.214533001,0.223521887,0.235707998,0.234067914
2/6/2004,0.258980989,0.212354004,0.234420002,0.210482467,0.215230762,0.215761247,0.224089046,0.223147626,0.24172077,0.261045188,0.24145326,0.265671521,0.254384037
2/7/2004,0.242250252,0.222319677,0.231430456,0.218436897,0.214100972,0.2059156,0.185473815,0.193313479,0.178221256,0.17505075,0.173745958,0.177407785,0.181219513
2/8/2004,0.220479995,0.212354004,0.245049998,0.221873963,0.201513787,0.19269554,0.187674949,0.182638652,0.182079973,0.182551995,0.170381751,0.175914496,0.179477573
2/9/2004,0.157757923,0.100398391,0.148701727,0.148223713,0.095138833,0.094629951,0.085921735,0.087751135,0.087439194,0.086227663,0.094112163,0.099152478,0.106747706
2/10/2004,0.258980989,0.243847743,0.272072494,0.232337621,0.223112857,0.211325415,0.210073795,0.203308749,0.208138713,0.205366492,0.199159149,0.197715983,0.201567176
2/11/2004,0.207831647,0.178593179,0.214595876,0.188041324,0.176116203,0.16527446,0.16836422,0.159776664,0.163329069,0.157472452,0.161091812,0.158105676,0.165456315
2/12/2004,0.238213062,0.224750683,0.237490535,0.213660687,0.206722468,0.171065063,0.16786025,0.161106467,0.146507099,0.171027258,0.181184649,0.18418768,0.204479024
2/13/2004,0.248443007,0.195181996,0.21785,0.202748358,0.197602462,0.193839971,0.201767026,0.195110686,0.205406399,0.205366492,0.215125577,0.235707998,0.22466064
2/14/2004,0.258980989,0.234095991,0.245049998,0.213335079,0.217622678,0.210985755,0.21517525,0.211481105,0.213627151,0.214533001,0.214437735,0.215888992,0.211980274
2/15/2004,0.307138175,0.234095991,0.272072494,0.28336671,0.27705678,0.30114466,0.289615294,0.301398873,0.293537356,0.297929913,0.284317166,0.278735042,0.196914777
2/16/2004,0.197500436,0.167645499,0.187784702,0.168669468,0.169471546,0.161613524,0.165734944,0.158188588,0.168887445,0.158154961,0.171235266,0.169606121,0.177506636
2/17/2004,0.273187369,0.245187089,0.25414589,0.235983819,0.223179758,0.213077217,0.198804811,0.195105523,0.197141364,0.210398689,0.205777273,0.217337191,0.215893269
