Date,Average of pres0,Average of pres1,Average of pres2,Average of pres3,Average of pres4,Average of pres5,Average of pres6,Average of pres7,Average of pres8,Average of pres9,Average of pres10,Average of pres11,Average of pres12,Average of pres13,Average of pres14,Average of pres15,Average of pres16,Average of pres17,Average of pres18,Average of pres19,Average of pres20,Average of pres21,Average of pres22,Average of pres23,Average of pres24,Average of pres25,Average of pres26,Average of pres27,Average of pres28,Average of pres29,Average of pres30,Average of pres31,Average of pres32,Average of pres33,Average of pres34,Average of pres35
1/12/2004,102854.9036,102851.5208,102831.4364,102799.4974,102869.2574,102865.6615,102834.6362,102779.9323,102864.718,102863.4364,102862.2176,102825.3419,102848.8069,102826.5915,102804.9528,102800.2593,102819.4892,102780.6027,102761.6767,102752.7775,102770.9103,102744.1838,102661.6529,102657.6317,102679.0565,102638.7965,102617.6146,102602.3776,102679.8787,102524.0532,102479.6804,102502.4156,102704.7779,102527.5897,102445.8824,102428.2061
1/13/2004,102658.1164,102659.1094,102638.5324,102600.3246,102651.3332,102656.1328,102629.9887,102570.2129,102646.5656,102648.677,102644.1332,102603.5887,102643.0133,102615.3328,102581.0293,102570.0203,102602.3414,102557.4445,102531.4293,102522.2129,102526.693,102496.2289,102417.0289,102421.6695,102415.4285,102371.4926,102358.2445,102354.3102,102405.9887,102247.909,102206.7883,102241.4125,102420.0371,102243.8121,102167.6531,102162.0531
1/14/2004,102253.4981,102251.3348,102233.6577,102206.1994,102246.0015,102247.189,102222.9918,102176.0588,102240.667,102243.9892,102244.051,102212.2336,102232.7437,102210.5874,102185.17,102180.7511,102198.5193,102158.8393,102138.3899,102131.1049,102131.9896,102109.7727,102031.0833,102032.9111,102024.8958,101993.5052,101979.3951,101971.0744,102024.4394,101874.5565,101834.7552,101864.4996,102051.3798,101875.045,101796.9345,101783.0677
1/15/2004,101855.2792,101847.8347,101824.7611,101790.7743,101850.0913,101844.2977,101811.456,101756.5169,101833.3503,101828.7364,101822.3022,101785.1822,101809.4683,101781.6456,101753.7882,101748.9375,101772.2138,101732.3314,101710.6386,101700.1295,101707.7426,101691.7763,101609.6542,101603.8598,101595.5058,101573.544,101552.3236,101533.2915,101588.1961,101443.6579,101400.4075,101418.7311,101612.4161,101436.5502,101355.9108,101334.4206
1/16/2004,101803.9947,101796.6339,101773.5355,101739.1797,101798.7575,101795.0629,101768.2109,101717.652,101793.1133,101795.3253,101797.0991,101764.3136,101781.1289,101762.3931,101742.815,101740.1101,101746.9176,101713.7241,101697.5795,101692.6623,101685.5355,101671.0476,101594.7141,101595.5579,101581.5352,101556.6626,101540.8956,101529.114,101579.7021,101434.772,101394.6261,101419.4702,101607.6584,101434.3058,101354.3647,101337.6953
1/17/2004,101740.8068,101745.6939,101732.3707,101704.8505,101727.163,101740.2259,101725.9418,101677.1552,101721.7518,101736.152,101745.4023,101713.8395,101718.0288,101704.7053,101686.0863,101684.7773,101687.8899,101658.3338,101641.6353,101635.642,101628.8647,101617.8686,101540.1087,101540.4283,101528.7926,101503.4535,101489.7809,101483.8182,101525.2152,101379.3807,101342.5234,101378.8864,101551.3374,101377.8402,101303.8327,101301.9421
1/18/2004,101174.1989,101188.1346,101179.1168,101156.017,101149.5011,101167.625,101158.6648,101119.6243,101144.9048,101161.6911,101170.1847,101146.8828,101147.4933,101132.9201,101110.0252,101109.7053,101117.4137,101090.4471,101068.6573,101057.2248,101055.538,101053.647,100971.6683,100967.1314,100954.1559,100941.1808,100926.956,100919.5373,100955.32,100819.0579,100785.2546,100822.1413,100990.0536,100819.581,100744.4691,100742.9854
1/19/2004,101088.9067,101086.9194,101068.9317,101037.6398,101081.6986,101085.6402,101059.1303,101004.3257,101073.0082,101072.8059,101065.5308,101028.4108,101065.6978,101035.8882,101000.081,100990.7521,101028.1069,100985.6645,100956.8651,100942.1451,100959.7952,100937.0584,100853.7241,100850.4568,100853.7233,100820.4437,100803.7701,100796.2928,100846.0444,100698.7093,100660.2076,100694.4971,100864.6373,100692.6118,100613.3873,100605.7072
1/20/2004,101597.4016,101585.5617,101561.05,101529.3379,101604.0254,101592.9859,101559.2578,101506.65,101606.9379,101601.1449,101594.9371,101554.3941,101602.4891,101575.8664,101547.673,101535.3539,101568.7613,101526.4242,101502.5535,101492.1535,101503.993,101478.7457,101397.3695,101396.2813,101400.1852,101367.3848,101350.3938,101337.4965,101404.3773,101255.4496,101213.9129,101236.3773,101434.4898,101260.218,101179.8012,101157.8488
1/21/2004,102030.9741,102016.0181,101990.8561,101961.0785,102033.5341,102018.8133,101980.919,101931.2344,102027.3355,102016.3549,102004.7007,101968.4552,102012.6834,101979.9745,101947.4371,101938.9486,101981.0876,101936.7245,101907.722,101889.0954,101926.4852,101902.7726,101810.9815,101798.7212,101826.9145,101794.6785,101770.6291,101753.3483,101826.3425,101675.2002,101632.5234,101658.6953,101852.9531,101676.7837,101594.9646,101581.0868
